日期,预测值_x,真实值_x,误差_x,标签,真实值_y,预测值_y,误差_y
12/28/16,828.1,930.34,102.24000000000001,0,1134.6,1134.438086378432,0.1619136215679191
12/29/16,834.27,963.38,129.11,0,1145.9,1132.5077391823108,13.392260817689248
12/30/16,841.44,952.15,110.70999999999992,1,,,
12/31/16,847.96,958.12,110.15999999999997,1,,,
1/1/17,854.48,997.72,143.24,1,,,
1/2/17,862.19,1015.97,153.77999999999997,1,,,
1/3/17,870.29,1013.42,143.13,0,1151.0,1123.6200061175514,27.379993882448616
1/4/17,878.04,1126.76,248.72000000000003,0,1164.25,1123.378629113512,40.871370886487966
1/5/17,889.46,994.67,105.20999999999992,0,1176.7,1123.9046084728784,52.79539152712164
1/6/17,896.0,999.65,103.64999999999998,0,1175.85,1125.0695590009436,50.78044099905628
1/7/17,902.51,896.83,5.67999999999995,1,,,
1/8/17,905.36,908.14,2.7799999999999727,1,,,
1/9/17,908.49,910.49,2.0,0,1178.5,1122.4606818192217,56.03931818077831
1/10/17,911.59,906.05,5.540000000000077,0,1189.5,1123.8400331223525,65.65996687764755
1/11/17,914.45,785.22,129.23000000000002,0,1178.55,1125.6889977354576,52.86100226454232
1/12/17,913.28,780.92,132.36,0,1205.05,1126.7913877897427,78.2586122102573
1/13/17,912.0,826.29,85.71000000000004,0,1190.35,1129.1659486205451,61.184051379454786
1/14/17,912.19,817.91,94.28000000000009,1,,,
1/15/17,912.1,819.55,92.55000000000007,1,,,
1/16/17,912.05,830.5,81.54999999999995,0,1203.0,1127.4126000618535,75.58739993814652
1/17/17,912.34,903.84,8.5,0,1216.05,1129.6970331280268,86.3529668719732
1/18/17,914.88,906.6,8.279999999999973,0,1214.75,1132.4585052390728,82.29149476092721
1/19/17,917.42,895.798875,21.621125000000006,0,1196.05,1134.9584304870875,61.09156951291243
1/20/17,919.56,893.6210875,25.9389124999999,0,1200.55,1136.3963948451574,64.15360515484258
1/21/17,921.56,895.64,25.91999999999996,1,,,
1/22/17,923.56,918.603625,4.95637499999998,1,,,
1/23/17,926.19,922.0736125,4.116387500000087,0,1212.85,1135.14403758299,77.70596241700991
1/24/17,928.83,919.97,8.860000000000014,0,1216.8,1137.4154297282864,79.38457027171353
1/25/17,931.34,893.045625,38.29437500000006,0,1195.0,1139.7141413259146,55.285858674085375
1/26/17,932.99,915.95625,17.033750000000055,0,1189.7,1140.8823912896469,48.81760871035317
1/27/17,935.25,915.05,20.200000000000045,0,1184.85,1141.7365658009953,43.11343419900459
