日期,标签,预测值,真实值,误差
5/6/18,1,9630.136277,10967.418902853791,1337.2826258537916
5/7/18,1,9631.44,10979.667045790913,1348.2270457909126
5/8/18,0,9228.608333,10991.835365696013,1763.2270326960133
5/9/18,0,9322.041667,11001.252504980308,1679.2108379803085
5/10/18,0,9310.37,11011.214588042105,1700.844588042104
5/11/18,0,8468.788,11021.024979258424,2552.236979258423
5/12/18,1,8484.346667,11025.224887472024,2540.8782204720246
5/13/18,1,8463.52,11029.48561591349,2565.96561591349
5/14/18,0,8652.038333,11033.568157454261,2381.529824454261
5/15/18,0,8511.458,11038.84436538427,2527.386365384269
5/16/18,0,8471.06,11043.15452481967,2572.0945248196713
5/17/18,0,8106.118333,11047.15947696257,2941.0411439625695
5/18/18,0,8240.055,11048.747200600414,2808.6922006004133
5/19/18,1,8239.08,11051.180153238041,2812.1001532380415
5/20/18,1,8507.406667,11053.576148458587,2546.169481458588
5/21/18,0,8385.556187,11057.681369759866,2672.125182759866
5/22/18,0,8396.63,11060.957988810529,2664.32798881053
5/23/18,0,7555.74,11064.271023243235,3508.531023243235
5/24/18,0,7566.193333,11062.123701823022,3495.930368823022
5/25/18,0,7576.78,11060.039318849942,3483.2593188499422
5/26/18,1,7342.908333,11058.01832038633,3715.1099873863304
5/27/18,1,7361.831667,11054.490736264801,3692.6590692648006
5/28/18,1,7344.56,11051.087955277364,3706.5279552773636
5/29/18,0,7459.876667,11047.577476706265,3587.7008097062644
5/30/18,0,7385.395,11044.807329912852,3659.4123299128514
5/31/18,0,7386.72,11041.561412172494,3654.8414121724936
6/1/18,0,7535.146667,11038.326021349909,3503.179354349909
6/2/18,1,7645.146667,11036.036590160005,3390.8899231600053
6/3/18,1,7637.14,11034.44242696961,3397.3024269696098
6/4/18,0,7500.273333,11032.790554198938,3532.5172211989384
6/5/18,0,7615.722142,11030.265853624582,3414.543711624582
6/6/18,0,7619.43,11028.46898114869,3409.0389811486893
6/7/18,0,7676.271667,11026.689822354441,3350.4181553544413
6/8/18,0,7620.153333,11025.26299306726,3405.109660067259
6/9/18,1,7615.54,11023.475600074136,3407.9356000741363
6/10/18,1,6776.888333,11021.653651897283,4244.765318897283
6/11/18,0,6875.678333,11014.568351322177,4138.890018322178
6/12/18,0,6879.31,11008.124983028678,4128.8149830286775
6/13/18,0,6315.7,11001.724342655205,4686.024342655205
6/14/18,0,6647.013333,10991.826448014453,4344.813115014454
6/15/18,0,6637.41,10984.031705912286,4346.621705912286
6/16/18,1,6509.426667,10976.20466271068,4466.7779957106795
6/17/18,1,6464.411667,10967.61031364281,4503.19864664281
6/18/18,0,6445.79,10958.768593125202,4512.978593125202
6/19/18,0,6737.0,10949.844700482845,4212.844700482845
6/20/18,0,6714.718333,10942.754754518424,4228.0364215184245
6/21/18,0,6760.83,10935.550935732994,4174.720935732994
6/22/18,0,6332.573333,10928.655610704147,4596.082277704147
6/23/18,1,6141.605833,10919.147500359113,4777.5416673591135
6/24/18,1,6170.46,10908.502708984524,4738.042708984524
6/25/18,0,6211.4475,10898.077730932226,4686.6302309322255
6/26/18,0,6218.595,10887.94542675262,4669.35042675262
6/27/18,0,6097.46,10877.896861205943,4780.436861205943
6/28/18,0,6107.896154,10867.148104671607,4759.251950671607
6/29/18,0,5908.7025,10856.506273271967,4947.803773271967
6/30/18,1,6223.28,10844.694400464592,4621.414400464592
7/1/18,1,6374.754167,10834.843767298094,4460.089600298094
7/2/18,0,6466.069167,10825.951028438707,4359.881861438707
7/3/18,0,6626.44,10817.645100220863,4191.205100220864
7/4/18,0,6593.289167,10810.339921294479,4217.050754294479
7/5/18,0,6603.376667,10802.859419069668,4199.482752069667
7/6/18,0,6555.51,10795.465691617554,4239.955691617553
7/7/18,1,6594.281667,10787.809072778206,4193.527405778205
7/8/18,1,6753.559167,10780.41251738619,4026.85335038619
7/9/18,0,6724.04,10773.99807026605,4049.9580702660505
7/10/18,0,6510.791667,10767.426934192059,4256.635267192059
7/11/18,0,6377.363333,10759.600030767739,4382.236697767738
7/12/18,0,6403.18,10751.003097239878,4347.823097239878
7/13/18,0,6244.3575,10742.592064525477,4498.234564525477
7/14/18,1,6241.0,10733.265049030819,4492.265049030819
7/15/18,1,6248.84,10723.953614648352,4475.113614648351
7/16/18,0,6514.390833,10714.724254413099,4200.333421413098
7/17/18,0,6869.910833,10707.105905709888,3837.1950727098883
7/18/18,0,7321.62,10701.621022928783,3380.0010229287827
7/19/18,0,7396.401667,10698.824611645075,3302.4229446450754
7/20/18,0,7428.045,10696.471793138488,3268.4267931384875
7/21/18,1,7334.99,10694.30515244307,3359.3151524430705
7/22/18,1,7451.289167,10691.588887573576,3240.2997205735765
7/23/18,0,7689.884167,10689.558162170975,2999.673995170975
7/24/18,0,7715.1,10688.92680917413,2973.82680917413
7/25/18,0,8251.165,10688.434135251664,2437.269135251663
7/26/18,0,8187.324167,10691.071051074377,2503.7468840743777
7/27/18,0,7939.81,10693.308773991577,2753.498773991577
7/28/18,1,8182.251667,10694.07740427083,2511.8257372708304
7/29/18,1,8206.341667,10696.243487515696,2489.9018205156954
7/30/18,0,8220.91,10698.52656138634,2477.6165613863395
7/31/18,0,7916.800833,10700.870525393675,2784.069692393675
8/1/18,0,7570.869167,10701.424917706157,3130.5557507061576
8/2/18,0,7607.7,10699.958982898686,3092.2589828986866
8/3/18,0,7394.499167,10698.701605249815,3304.202438249815
8/4/18,1,7247.769167,10696.206187254467,3448.437020254467
8/5/18,1,7011.28,10692.864466162371,3681.5844661623714
8/6/18,0,6988.079167,10688.164615412019,3700.085448412019
8/7/18,0,6993.513333,10683.343018355912,3689.8296853559123
8/8/18,0,6718.23,10678.565064007154,3960.335064007155
8/9/18,0,6396.7725,10672.219499223005,4275.446999223005
8/10/18,0,6396.494667,10664.051854658721,4267.557187658721
8/11/18,1,6138.96,10655.911833387418,4516.9518333874175
8/12/18,1,6311.131667,10646.329256334722,4335.197589334723
8/13/18,0,6347.07,10637.76538313302,4290.695383133021
8/14/18,0,6252.13,10629.437464654142,4377.307464654142
8/15/18,0,6362.676923,10620.599343430666,4257.922420430666
8/16/18,0,6342.629231,10612.421857086569,4269.792626086569
8/17/18,0,6312.75,10604.159864085545,4291.4098640855445
8/18/18,1,6436.720833,10595.758236751833,4159.037403751833
8/19/18,1,6404.063333,10588.08833908273,4184.025006082729
8/20/18,0,6486.58,10580.260650848344,4093.680650848344
8/21/18,0,6401.246154,10572.92599243237,4171.67983843237
8/22/18,0,6575.229167,10565.135637524036,3989.9064705240353
8/23/18,0,6354.57,10558.351389874244,4203.781389874244
8/24/18,0,6543.645714,10550.349834579782,4006.7041205797814
8/25/18,1,6719.429231,10543.437340579141,3824.008109579141
8/26/18,1,6738.27,10537.532612744122,3799.2626127441217
8/27/18,1,6719.266154,10531.751340125933,3812.485186125933
8/28/18,0,7000.04,10525.881355773761,3525.8413557737613
8/29/18,0,7078.19,10521.595647462655,3443.405647462655
8/30/18,0,6932.6625,10517.75549326072,3585.0929932607196
8/31/18,0,6981.946154,10513.113752073557,3531.167598073557
9/1/18,1,7018.78,10508.757745800956,3489.9777458009567
9/2/18,1,7247.935385,10504.616650222128,3256.681265222128
9/3/18,0,7260.949231,10501.75464742091,3240.8054164209107
9/4/18,0,7265.08,10498.968000245502,3233.8880002455026
9/5/18,0,7113.069231,10496.207188403127,3383.137957403126
9/6/18,0,6433.271667,10492.610606600894,4059.3389396008943
9/7/18,0,6501.19,10485.275544463731,3984.085544463732
9/8/18,1,6366.1075,10478.339149216044,4112.231649216044
9/9/18,1,6286.425833,10470.683599072234,4184.257766072234
9/10/18,0,6240.98,10462.617346861032,4221.637346861033
9/11/18,0,6296.320833,10454.330549761708,4158.009716761708
9/12/18,0,6273.1375,10446.376097930075,4173.238597930075
9/13/18,0,6326.04,10438.322886879523,4112.282886879523
9/14/18,0,6499.0625,10430.586757074467,3931.5242570744667
9/15/18,1,6518.655,10423.820401250432,3905.1654012504323
9/16/18,1,6522.39,10417.182920015704,3894.792920015704
9/17/18,0,6400.600833,10410.587373053428,4009.9865400534272
9/18/18,0,6296.631667,10403.352262785096,4106.7205957850965
9/19/18,0,6342.39,10395.578103546217,4053.1881035462166
9/20/18,0,6418.562667,10388.078640714435,3969.515973714435
9/21/18,0,6669.990833,10381.016636171016,3711.0258031710164
9/22/18,1,6756.12,10375.335511871359,3619.215511871359
9/23/18,1,6710.445,10370.135822748547,3659.6908227485474
9/24/18,0,6639.304167,10364.705101941507,3725.4009349415064
9/25/18,0,6583.45,10358.907860209623,3775.4578602096235
9/26/18,0,6468.631667,10352.828414155978,3884.1967471559783
9/27/18,0,6535.476667,10346.15233136624,3810.67566436624
9/28/18,0,6686.08,10339.855995477501,3653.775995477501
9/29/18,1,6550.474167,10334.385055395367,3783.910888395367
9/30/18,1,6593.135,10328.206092581317,3735.0710925813164
10/1/18,0,6611.02,10322.2741368104,3711.2541368103994
10/2/18,0,6562.641667,10316.455773094749,3753.814106094749
10/3/18,0,6470.4025,10310.397883612031,3839.995383612031
10/4/18,0,6483.73,10303.868933494221,3820.1389334942214
10/5/18,0,6568.549167,10297.431795855915,3728.882628855915
10/6/18,1,6581.486667,10291.464714143476,3709.978047143476
10/7/18,1,6573.62,10285.584590753893,3711.9645907538934
10/8/18,0,6618.567692,10279.681005103826,3661.113313103827
10/9/18,0,6621.711667,10274.03282587953,3652.321158879531
10/10/18,0,6626.85,10268.41825493891,3641.5682549389094
10/11/18,0,6248.635833,10262.847615026036,4014.2117820260355
